,id,identifier,csdRefcode,doi
boydwoo_str_m5_Al_o1_o4_sra_sym_103,6196d02ea6be6ad33899dc57,qmof-a0fecb5,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Zn2O8N2-DPAC_A-irmof7_A_No1105,6196d15df8a517a48b6ce9c1,qmof-71d2ae5,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o12_o19_pcu_sym_169,6196cfa8a6be6ad33899d1c0,qmof-78cbecc,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Zn2O8-ADC_A-irmof7_A_No686,6196d14ca6be6ad33899edbf,qmof-280792c,,https://doi.org/10.1039/C9TA01752F
gmof_Zn2O8N2-AZO_A-irmof7_A_No465,6196d143f8a517a48b6ce7f9,qmof-7b347ed,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m4_Al_o27_o27_acs_sym_193,6196d014f8a517a48b6cd144,qmof-20529db,,https://doi.org/10.24435/materialscloud:2018.0016/v3
PUFXUL_FSR,6196ccd7a6be6ad33899a0fe,qmof-0ae6e04,PUFXUL,https://doi.org/10.1002/chem.201405395
boydwoo_str_m3_o7_o22_pcu_sym_130,6196cff4a6be6ad33899d7e5,qmof-4e884d7,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o1_o4_pcu_sym_24,6196cfcff8a517a48b6ccc58,qmof-08a6002,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m3_o23_o27_pcu_sym_161,6196cfbea6be6ad33899d3fd,qmof-8b32414,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_Zn4O13-DPAC_A-TED_A_No13,6196d178a6be6ad33899f058,qmof-d1097c8,,https://doi.org/10.1039/C9TA01752F
tobacco_bor_sym_3_mc_0_sym_4_on_6_L_6,6196d192a6be6ad33899f1da,qmof-e5bc580,,https://doi.org/10.1021/acs.cgd.7b00848
core_ESIDOB_freeONLY,6196d067a6be6ad33899e017,qmof-b7ce8aa,ESIDOB,
XEXMEU_FSR,6196cf0ca6be6ad33899c6ef,qmof-3fcf6ee,XEXMEU,https://doi.org/10.1021/ic302334x
gmof_Uio66Zr-irmof14_A_No15,6196d13ca6be6ad33899ecae,qmof-65bb65d,,https://doi.org/10.1039/C9TA01752F
VEJYUF01_FSR,6196ce87f8a517a48b6cb4c7,qmof-cb56c2e,VEJYUF01,https://doi.org/10.1002/chem.200700181
boydwoo_str_m3_o4_o28_pcu_sym_53,6196cff1f8a517a48b6ccedf,qmof-a353c59,,https://doi.org/10.24435/materialscloud:2018.0016/v3
boydwoo_str_m5_Al_o4_o20_sra_sym_58,6196d038f8a517a48b6cd358,qmof-2c1dd80,,https://doi.org/10.24435/materialscloud:2018.0016/v3
gmof_AlO6-ADC_A_No6,6196d106f8a517a48b6ce240,qmof-449a0d1,,https://doi.org/10.1039/C9TA01752F
pyrene_KUJZAT,6196d19ff8a517a48b6cee2c,qmof-d3f04f5,,https://doi.org/10.24435/materialscloud:z5-ct
INIPOM_FSR,6196ca4ff8a517a48b6c6dbf,qmof-933e26a,INIPOM,https://doi.org/10.1039/C6RA10144E
core_MUNNUF_freeONLY,6196d0abf8a517a48b6cdb08,qmof-eee201d,MUNNUF,
gmof_Al2O6-AZO_B-fum_B_No78,6196d0d4f8a517a48b6cddaf,qmof-cd9c899,,https://doi.org/10.1039/C9TA01752F
boydwoo_str_m3_o16_o17_pcu_sym_262,6196cfb0f8a517a48b6cca25,qmof-559f6f4,,https://doi.org/10.24435/materialscloud:2018.0016/v3
GIVWAM_FSR,6196c972f8a517a48b6c5f63,qmof-b4b7e02,GIVWAM,https://doi.org/10.1126/science.aar6833
gmof_Zn4O13-BDC_A-DPAC_A_No542,6196d17bf8a517a48b6cebdc,qmof-467f2a8,,https://doi.org/10.1039/C9TA01752F
core_TEBSAW_freeONLY,6196d0c7f8a517a48b6cdcc3,qmof-f931226,TEBSAW,
RUZCAS_FSR,6196cdadf8a517a48b6ca452,qmof-3dbdebd,RUZCAS,https://doi.org/10.1021/acs.cgd.5b01302
MOF-5_cooh_2_462_1,6196cb9fa6be6ad3389988ca,qmof-81da3e7,,https://doi.org/10.1021/jp401920y
