iter	Logloss
0	0.6928198295
1	0.6925984659
2	0.6923118112
3	0.6921182172
4	0.6918495904
5	0.6916313551
6	0.6914199812
7	0.6910900579
8	0.690699042
9	0.6904626807
10	0.6901464803
11	0.689914281
12	0.6895753048
13	0.6893401857
14	0.6890581833
15	0.6887479143
16	0.688460463
17	0.6881525609
18	0.6878400766
19	0.6876584644
20	0.6873560869
21	0.6871237503
22	0.6868707333
23	0.6866106429
24	0.686386403
25	0.6861135313
26	0.6859461385
27	0.6855832278
28	0.6852037989
29	0.6849782969
30	0.6847216774
31	0.6844013063
32	0.6841726422
33	0.6838293986
34	0.6835925189
35	0.6832420949
36	0.6829949961
37	0.6826741736
38	0.6825080879
39	0.6822430066
40	0.6819298273
41	0.6817835325
42	0.681502482
43	0.6812153525
44	0.6808817803
45	0.680500853
46	0.6802827465
