,node,linker,cat,mofkey
ed977801beee40131ed6c96cf7ee0193,['[Zn]'],"['N1=CN(CC1)CN1[CH][N]C=C1', '[CH]1[N][CH]N([CH]1)Cn1cncc1', '[C]1=CN(C=N1)Cn1cncc1', '[O-]C(=O)C1=C[N]N([CH]1)c1ccc(c2c1non2)n1[n-]cc(c1)C(=O)[O-]', '[O-]C(=O)c1c[n-]n(c1)N1C=CC(=C2C1=NO[N]2)n1[n-]cc(c1)C(=O)[O-]', '[O-]C(=O)c1c[n-]n(c1)c1ccc(c2c1non2)n1[n-]cc(c1)C(=O)[O-]', '[O-]C(=O)c1c[n-]n(c1)c1ccc(c2c1non2)n1[n-]cc(c1)N(=O)=O', 'c1ncn(c1)Cn1cncc1']",1,Zn.CNLDCJYNBWCRFO.FEEIZMXTBNIYFN.LYBWGVWLQBVNJA.OKYMZBDYERWFES.PUIKXYZZMQTLNY.UYHHYFDKCLECEJ.WSEYTISNNMDFBH.MOFkey-v1
2a8f3de34fa7366ca48379f94dac4386,['[Zn][O]([Zn][O]([Zn])([Zn])[Zn])([Zn])[Zn]'],"['[O-]C(=O)c1ccc(c(c1[CH])[CH])C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-]']",0,Zn.ABMFBCRYHDZLRD.LPFAHSLZEGHMAA.MOFkey-v1
6c0bb3be98debfbcc4849941157d0ef7,['[Cd]'],"['N1=C[N]N([CH]1)c1ccc(c2c1nsn2)N1[N]C=N[CH]1', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']",1,Cd.BMECAHBIWZEJHK.KKEYFWRCBNTPAC.MOFkey-v1
636ad7bfd6a7feec37e3aaf0149fdde7,['[Cd]'],"['O=[C]OO[C][C][C][C][C]C(C([CH][C]C(=O)[O-])[C])[CH]', 'c1ncn(c1)Cn1cncc1']",1,Cd.CKJODEXCHAWTBW.UYHHYFDKCLECEJ.MOFkey-v1
91f8e52ddfef8c3b4a5594e5520a3f47,['[Mn]'],"['[O-]C(=O)c1nnn(c1)C1=CN=N[CH]1', '[O-]C(=O)c1nnn(c1)C1=C[N]N=C1']",0,Mn.ALBULQBFRIGUAW.MOFkey-v1
3d3b86ec5015e669102e9fd7d7e1f03f,['[Zn]'],['[O-]C(=O)c1ccc(cc1)C(=O)[O-]'],1,Zn.KKEYFWRCBNTPAC.MOFkey-v1
b920448ad95f18b8d7a28d89d84fd778,['[O][Cd]'],['[O-]C(=O)c1c[n-]n(c1)c1ccc(c2c1nsn2)n1[n-]cc(c1)C(=O)[O-]'],0,Cd.VUFFPGVFHRVLGA.MOFkey-v1
19e12ded00bf6ca6e8bcc777bdb61bc7,['[Zn]'],"['[O-]C(=O)c1c[n-]n(c1)c1ccc(c2c1non2)n1[n-]cc(c1)C(=O)[O-]', 's1nc2c(n1)c(ccc2n1cncc1)n1cncc1']",1,Zn.CNLDCJYNBWCRFO.XQTCTIGKOKAWTO.MOFkey-v1
386beb547983d357c30ff5ca37a38791,['[OH2][Eu][OH2]'],['[O-]C(=O)c1c[n-]n(c1)c1ccc(c2c1nsn2)n1[n-]cc(c1)C(=O)[O-]'],0,Eu.VUFFPGVFHRVLGA.MOFkey-v1
e80fb54ad5770678e0094be5a6c3abd5,['[OH2][Eu][OH2]'],['[O-]C(=O)c1cn(nn1)c1[n-][nH]c(c1)C'],1,Eu.CUMMBOKIPLAOLQ.MOFkey-v1
