,pld,lcd
d990e286a9b8f723557ec5b14c315512,1.89983,0.88674
f09f1b56a897de2c2b0270d53f786bbc,4.44554,1.50468
c946032037f945548b80f2842d5b1678,1.74202,0.85165
a046742a3a6e5ffe433a59fd1e9a7c2c,2.60440,1.08010
fde0b0750f50ab941bb818bbdc1e9a6f,2.31887,1.06165
11ad0e105123bf33c306fc78623eb8be,5.29443,2.37409
4f89e6e2fe55f0e62e38cde8caa7e7c3,3.05146,1.73574
7dce4a8dd643623a20ee6311ab2e10f0,2.15069,1.06469
4bc28eb9490092aa0ba55a6ad5f5d245,2.19320,1.47372
e9573fa586c7a9af4f1099fb8ca294b2,2.84767,1.17729
6c0bb3be98debfbcc4849941157d0ef7,2.44167,0.97432
06da0e697e7631691d54cc2e0d1774c0,2.48992,1.00269
21059adb16277beeeb8e4d937a91cb59,2.58704,1.25737
d3aa23631a83f90cd04d59213fbf81da,2.41424,1.63629
31ef3d5d4bada48c382b6d7459146441,2.39308,0.40109
6f822b2cb88a105dfa63d23049732366,1.75739,0.88349
b920448ad95f18b8d7a28d89d84fd778,2.44609,1.25418
91f8e52ddfef8c3b4a5594e5520a3f47,2.08118,0.93258
1c35a926cb15730ef17420c1e5f6680d,2.22599,1.05422
386beb547983d357c30ff5ca37a38791,2.68045,1.45937
095f29848bedddc819af36831d280e33,4.92358,4.00611
69e186562c9d5d6a1a1535fc3787b6be,4.20301,1.64564
9743328b2909b37502d46db23e27f010,6.93106,3.97362
59c250f534d2619b039894e792953099,2.30539,1.18462
9a94e1176294191e6ca613e7f25e22cb,3.17334,1.73228
05fc53e5c7b6d2567637d2f5ba15b142,2.08177,1.07532
821b7054efa92e698912933e1fc67f94,2.28142,0.95576
e80fb54ad5770678e0094be5a6c3abd5,2.45657,1.55742
be026c56f8e18bedecd55f7567262699,4.69367,3.72047
2fff851d7bb8b4f10fe303de2757bf7d,1.86100,0.97586
2420c11ec99c0a680c9d6a50a8c6854a,6.73046,5.46963
04e9a96ccadffa23ec2a95a810161aa1,2.49289,1.44983
6f7223393a10a620a1449f3cba830d43,2.55336,1.11351
819ac3a321b16d4dae896ff736363ec3,3.31118,1.32609
04fb1c540bfd65a5a453f939739fff5a,4.97975,3.48119
1b040714d5011b874221f74f3cdc31be,6.36262,3.72942
48f9ead44f9bc19afcb3147dd4dfe990,5.79628,1.35224
0d3ba8740d1eb78cd6c8e2ee5e2e3e6c,2.23921,0.94144
f29c96dd7d3ec5854a29838b8bd00402,2.46310,0.98067
33383d4ece1970a259322d2300bbb3f1,6.07944,5.22154
15792c6a1fdf2d04222c02040f7b14a4,2.09441,1.10733
9ce388d61924a4d0f26878a21091c491,1.93489,0.71570
b9af5ef36ea1a5c04c70b1769492ed84,2.02451,1.11252
90d2a7cc2d672ea2a68edfdab7f09df0,2.31369,1.06331
ab64f4914b42e8676d7a25184c2fdc72,2.28397,1.07384
edf7caa7d500bfc80874598a41c188ba,2.38837,1.19137
8e71296ff7bc11fbb260562cabeb33f7,2.44609,1.25418
cb20baeed7374110bf9f7d6cdc21757f,6.76033,5.37187
c39f439454e0141cb84760cb3e232010,2.03114,1.13043
f5e6b338c0fc4d48f88b6646885b786d,16.34959,9.02280
636ad7bfd6a7feec37e3aaf0149fdde7,2.72446,1.21924
21508b2b527d68a1b8744b89618a0c1f,2.28758,1.01140
7293b8581396bc768fbc58bb7f777a0d,3.05146,1.73574
fbd593784b480cbff0bd9ba909dd2f9e,5.07808,1.77814
0bf0db4126effc08c7fa5830590b3426,2.10117,0.88396
96a31278b2997be211cb456745f96527,2.50026,1.00016
3bdaf9fb670b74b85e3a2806ad1de5eb,6.94128,4.07495
506bf74aa9636adeaf4c3884557038cd,6.37344,4.27262
2c0508e98644b254411132802601d46b,2.20498,1.24961
