index;DOI;CCDC_init;CCDC_final;Reversible;Stimuli;CIF_init;CIF_final
1;https://doi.org/10.1038/s41467-021-24188-4;2040922;2040923;yes;solvent;initial MOF-5-C7 2040922.cif;to MOF-5(C7)_desolvated phase 2040923.cif
2;https://doi.org/10.1038/s41557-021-00684-4;1989709;1989708;yes;solvent;initial MOF DMF@DUT-8(Ni) 1989709.cif;to DUT-8(Ni) polymorph B 1989708.cif
3;https://doi.org/10.1038/s41586-021-03880-x;2080334;2080335;yes;T, solvent;from part_2.cif;to part_4.cif
4;https://doi.org/10.1021/acs.inorgchem.9b03472;1961201;1961202;yes;solvent;initials MOFs 1961201.cif;final MOFs 1961202.cif
5;https://doi.org/10.1021/acs.inorgchem.9b03472;1961203;1961201;no;solvent;initials MOFs 1961203.cif;initials MOFs 1961201.cif
6;https://doi.org/10.1021/acs.inorgchem.9b03472;1961204;1961201;no;solvent;initials MOFs 1961204.cif;initials MOFs 1961201.cif
7;https://doi.org/10.1039/C9DT01572H;1884102;1512654;no;solvent;from UTSA-74 1884102.cif;to MOF-74 (Zn) 1512654.cif
8;https://doi.org/10.1039/C9DT01572H;1884101;1512654;no;solvent;from HIMS-74 1884101.cif;to MOF-74 (Zn) 1512654.cif
9;https://doi.org/10.1002/chem.201705136;1571655;1571656;yes;solvent;initial STA-26(Zr) 1571655.cif;to STA-26(Zr)-C (changed symmetry) 1571656.cif
10;https://doi.org/10.1021/acsami.2c09290;2084812;1524653;no;solvent;from Cu(I)-MOF-1 2084812.cif;to Cu(II)-MOF-3 1524653.cif
11;https://doi.org/10.1021/acsami.2c09290;2084857;1524653;no;solvent;from Cu(I)Cu(II)-MOF-2 2084857.cif;to Cu(II)-MOF-3 1524653.cif
12;https://doi.org/10.1039/c9sc04043a;1944823;1944821;yes;gas;1cp(des) MOF back to the initial1944823.cif;to 1lp MOF 1944821.cif
13;https://doi.org/10.1039/c9sc04043a;1944820;1944822;yes;gas;initial 1cp MOF 1944820.cif;to 1np MOF 1944822.cif
14;https://doi.org/10.1039/c5sc01796c;1052169;1052173;no;T;to 2fa' 1052169.cif;to 3fa 1052173.cif
15;https://doi.org/10.1039/c5sc01796c;1052168;1052173;no;T;from MOF 2fa 1052168.cif;to 3fa 1052173.cif
16;https://doi.org/10.1002/advs.201500012;1014506;1014507;yes;T;initial MOF 1014506.cif;to changed structure 1014507.cif
17;https://doi.org/10.1021/ic200937u;804770;804771;no;solvent;from assynthesized DUT-30(Zn) 804770.cif;to DUT-30(Zn) after phase transition 804771.cif
18;https://doi.org/10.1103/PhysRevB.101.134103;1970083;1970082;yes;T;from change Space g 250-? 1970083.cif;to 210 K same SG 1970082.cif
19;https://doi.org/10.1039/C7CE00589J;1503701;1503702;no;T;from SION-2 1503701.cif;to SION-1 1503702.cif
20;https://doi.org/10.1038/nature15732;1058447;1058448;yes;T;from DMF solvated Fe(bdp) 100 K 1058447.cif;to DMF solvated Fe(bdp) 298 K 1058448.cif
21;https://doi.org/10.1038/nature15732;1058446;1058450;yes;gas;from Fe(bdp) 25C 1058446.cif;to Fe(bdp) 25C 50 bar 1058450.cif
22;https://doi.org/10.1039/c5ce00724k;1045135;1045134;yes;solvent;2) from 9 1045135.cif;2) to 10 1045134.cif
23;https://doi.org/10.1039/c5ce00724k;1055570;1031676;yes;solvent;1) from 6 1055570.cif;1) to 7 1031676.cif
24;https://doi.org/10.1021/ja411934f;1021935;1021920;yes;solvent;from C2_c 1021935.cif;to Fdd2 1021920.cif
25;https://doi.org/10.1002/anie.202202073;2105544;2109615;yes;solvent;INITIAL anie202202073-sup-0001-nku-128_298k.cif;to anie202202073-sup-0001-nku-128_thf.cif
26;https://doi.org/10.1002/anie.202202073;2105544;2105645;yes;solvent;INITIAL anie202202073-sup-0001-nku-128_298k.cif;to anie202202073-sup-0001-nku-128_toluene.cif
27;https://doi.org/10.1021/acs.inorgchem.1c01364;238 860;238859;yes;solvent;initial Zn-1 238860.cif;to Zn-1 with DMF 238859.cif
28;https://doi.org/10.1039/d0fd00012d;989581;1977798;no;solvent;1) initial MnMOF-1 DMF 989581.cif;to 1-5 or 2-5) MeCn or p-Xylene solvated 1977798.cif
29;https://doi.org/10.1039/d0fd00012d;1977803;1977798;no;solvent;1-2) from MnMOF-1 to aceton solvated 1977803.cif;to 1-5 or 2-5) MeCn or p-Xylene solvated 1977798.cif
30;https://doi.org/10.1039/d0fd00012d;1977803;1977804;no;solvent;1-2) from MnMOF-1 to aceton solvated 1977803.cif;to 2-3) to THF solvated 1977804.cif
31;https://doi.org/10.1039/d0fd00012d;1977803;1977799;no;solvent;1-2) from MnMOF-1 to aceton solvated 1977803.cif;to 2-6) to DEE solvated 1977799.cif
32;https://doi.org/10.1021/jacs.5b02777;1031344;1031342;no;humidity;from Phase I 1031344.cif;to Phase II 1031342.cif
33;https://doi.org/10.1021/acs.inorgchem.5b02874;975746;975745;yes;solvent;from as- flexMOF 975746.cif;to d- flexMOF dried 975745.cif
34;https://doi.org/10.1016/j.jssc.2020.121236;1974527;1974529;yes;T, solvent;from (1) 1974527.cif;to (3) 1974529.cif
