idx;Folder num;CIF_init;CIF_final;Reversible;Stimuli
1;1;initial MOF-5-C7 2040922.cif;to MOF-5(C7)_desolvated phase 2040923.cif;yes;solvent
2;2;initial MOF DMF@DUT-8(Ni) 1989709.cif;to DUT-8(Ni) polymorph B 1989708.cif;yes;solvent
3;3;from part_2.cif;to part_4.cif;yes;T, solvent
4;6;initials MOFs 1961201.cif;final MOFs 1961202.cif;yes;solvent
5;6;initials MOFs 1961203.cif;initials MOFs 1961201.cif;no;solvent
6;6;initials MOFs 1961204.cif;initials MOFs 1961201.cif;no;solvent
7;7;from UTSA-74 1884102.cif;to MOF-74 (Zn) 1512654.cif;no;solvent
8;7;from HIMS-74 1884101.cif;to MOF-74 (Zn) 1512654.cif;no;solvent
9;9;initial STA-26(Zr) 1571655.cif;to STA-26(Zr)-C (changed symmetry) 1571656.cif;yes;solvent
10;13;from Cu(I)-MOF-1 2084812.cif;to Cu(II)-MOF-3 1524653.cif;no;solvent
11;13;from Cu(I)Cu(II)-MOF-2 2084857.cif;to Cu(II)-MOF-3 1524653.cif;no;solvent
12;16;1cp(des) MOF back to the initial1944823.cif;to 1lp MOF 1944821.cif;yes;gas
13;16;initial 1cp MOF 1944820.cif;to 1np MOF 1944822.cif;yes;gas
14;17;to 2fa' 1052169.cif;to 3fa 1052173.cif;no;T
15;17;from MOF 2fa 1052168.cif;to 3fa 1052173.cif;no;T
16;20;initial MOF 1014506.cif;to changed structure 1014507.cif;yes;T
17;21;from assynthesized DUT-30(Zn) 804770.cif;to DUT-30(Zn) after phase transition 804771.cif;no;solvent
18;23;from change Space g 250-Ü 1970083.cif;to 210 K same SG 1970082.cif;yes;T
19;24;from SION-2 1503701.cif;to SION-1 1503702.cif;no;T
20;30;from DMF solvated Fe(bdp) 100 K 1058447.cif;to DMF solvated Fe(bdp) 298 K 1058448.cif;yes;T
21;30;from Fe(bdp) 25C 1058446.cif;to Fe(bdp) 25C 50 bar 1058450.cif;yes;gas
22;31;2) from 9 1045135.cif;2) to 10 1045134.cif;yes;solvent
23;31;1) from 6 1055570.cif;1) to 7 1031676.cif;yes;solvent
24;37;from C2_c 1021935.cif;to Fdd2 1021920.cif;yes;solvent
25;42;INITIAL anie202202073-sup-0001-nku-128_298k.cif;to anie202202073-sup-0001-nku-128_thf.cif;yes;solvent
26;42;INITIAL anie202202073-sup-0001-nku-128_298k.cif;to anie202202073-sup-0001-nku-128_toluene.cif;yes;solvent
27;47;initial Zn-1 238860.cif;to Zn-1 with DMF 238859.cif;yes;solvent
28;52;1) initial MnMOF-1 DMF 989581.cif;to 1-5 or 2-5) MeCn or p-Xylene solvated 1977798.cif;no;solvent
29;52;1-2) from MnMOF-1 to aceton solvated 1977803.cif;to 1-5 or 2-5) MeCn or p-Xylene solvated 1977798.cif;no;solvent
30;52;1-2) from MnMOF-1 to aceton solvated 1977803.cif;to 2-3) to THF solvated 1977804.cif;no;solvent
