Folder num;CIF name;Stimuli
1;initial MOF-5-C7 2040922.cif;solvent
1;to MOF-5(C7)_desolvated phase 2040923.cif;solvent
2;to DUT-8(Ni) polymorph B 1989708.cif;solvent
2;initial MOF DMF@DUT-8(Ni) 1989709.cif;solvent
6;initials MOFs 1961204.cif;solvent
6;initials MOFs 1961203.cif;solvent
6;final MOFs 1961202.cif;solvent
6;initials MOFs 1961201.cif;solvent
7;from UTSA-74 1884102.cif;solvent
7;from HIMS-74 1884101.cif;solvent
9;to STA-26(Zr)-C (changed symmetry) 1571656.cif;solvent
9;initial STA-26(Zr) 1571655.cif;solvent
13;from Cu(I)Cu(II)-MOF-2 2084857.cif;solvent
13;from Cu(I)-MOF-1 2084812.cif;solvent
16;1cp(des) MOF back to the initial1944823.cif;gas
16;to 1lp MOF 1944821.cif;gas
16;initial 1cp MOF 1944820.cif;gas
16;to 1np MOF 1944822.cif;gas
17;to 2fa' 1052169.cif;T
17;from MOF 2fa 1052168.cif;T
20;to changed structure 1014507.cif;T
20;initial MOF 1014506.cif;T
21;from assynthesized DUT-30(Zn) 804770.cif;solvent
23;to 210 K same SG 1970082.cif;T
23;from change Space g 250-Ü 1970083.cif;T
24;from SION-2 1503701.cif;T
30;to Fe(bdp) 25C 50 bar 1058450.cif;gas
30;from Fe(bdp) 25C 1058446.cif;gas
30;to DMF solvated Fe(bdp) 298 K 1058448.cif;T
30;from DMF solvated Fe(bdp) 100 K 1058447.cif;T
31;1) to 7 1031676.cif;solvent
31;1) from 6 1055570.cif;solvent
31;2) from 9 1045135.cif;solvent
31;2) to 10 1045134.cif;solvent
34;initial 1a 1016635.cif;solvent
34;initial 2a 1016636.cif;solvent
37;to Fdd2 1021920.cif;solvent
37;from C2_c 1021935.cif;solvent
41;ONLY initial for 2 949420.cif;solvent
42;INITIAL anie202202073-sup-0001-nku-128_298k.cif;solvent
42;to anie202202073-sup-0001-nku-128_thf.cif;solvent
42;to anie202202073-sup-0001-nku-128_toluene.cif;solvent
44;initial 2110145.cif;solvent
47;initial Zn-1 238860.cif;solvent
47;to Zn-1 with DMF 238859.cif;solvent
49;from 2007086.cif;solvent
49;from 1969911.cif;solvent
52;1-2) from MnMOF-1 to aceton solvated 1977803.cif;solvent
52;1) initial MnMOF-1 DMF 989581.cif;solvent
54;from Phase I 1031344.cif;humidity
55;from as- flexMOF 975746.cif;solvent
55;to d- flexMOF dried 975745.cif;solvent
60;initial (1) 1455983.cif;solvent
62;From b-IRMOF-9DMF 1572717.cif;T
62;To a-IRMOF-9DMF 1572714.cif;T
65;from 975784.cif;Pressure
66;to DUT-49(Fe) 100 K2014975.cif;T
66;from DUT-49(Fe) 296 K 1957603.cif;T
66;to DUT-49(Cd) 100K 2014972.cif;T
66;from DUT-49(Cd) 296K 1957602.cif;T
66;to DUT-49(Co) 100K 2014974.cif;T
66;from DUT-49(Co) 296 K 890364.cif;T
66;from DUT-49(Ni) 296K 1957605.cif;T
66;from DUT-49(Mn) 296K 1957604.cif;T
66;to DUT-49(Ni) 100K 2014970.cif;T
66;from DUT-49(Zn) 296K 890363.cif;T
66;to DUT-49(Mn) 100K 2014971.cif;T
66;to DUT-49(Zn) 100K 2014973.cif;T
67;to (Co-MOF) 1912233.cif;solvent
67;from (Co-MOF) 1912199.cif;solvent
69;to NOTT300_1GPa_shear.cif;pressure
69;from NOTT300_0GPa.cif;pressure
69;from CAU13_0GPa.cif;pressure
69;to CAU13_-1GPa.cif;pressure
71;from ja054913a_si_001.cif;T
71;from ja054913a_si_002.cif;T
71;to ja054913a_si_004.cif;humidity
72;from ja500530y_si_003.cif;T
73;from ja101541s_si_004.cif;solvent
73;to ja101541s_si_003.cif;solvent
74;from 1934734.cif;T
75;from ic035111o_si_001.cif;T
75;from ic035111o_si_002.cif;solvent
76;from 1041925.cif;T
77;from 935302.cif;T
78;from UPC-600 1942055.cif;T
79;(2) to compound 2 924308.cif;T
80;from (1) in 5 636900.cif;T
80;from (3) in 6  1515548.cif;T
80;from (4) in 6 1536823.cif;T
81;from (1) with DMF 1403842.cif;solvent
81;to compound with hexane 1403844.cif;solvent
81;to compound with methanol 1403845.cif;solvent
82;from 2D 854460.cif;solvent
83;from (3) 1483716.cif;T
84;from VMOP-+ 1878068.cif;T
84;to VMOP-+ 1590348.cif;T
85;from 1a.cif;solvent, gas
85;to 1b.cif;solvent, gas
