,T_P proba
boydwoo_str_m5_Al_o1_o4_sra_sym_103,1.0
gmof_Zn2O8N2-DPAC_A-irmof7_A_No1105,1.0
boydwoo_str_m3_o12_o19_pcu_sym_169,1.0
gmof_Zn2O8-ADC_A-irmof7_A_No686,1.0
SEGBOX_FSR,1.0
VIYQAY_FSR,1.0
gmof_Zn2O8N2-AZO_A-irmof7_A_No465,1.0
boydwoo_str_m4_Al_o27_o27_acs_sym_193,1.0
boydwoo_str_m3_o7_o22_pcu_sym_130,1.0
boydwoo_str_m3_o1_o4_pcu_sym_24,1.0
ECUYAE_FSR,1.0
boydwoo_str_m3_o23_o27_pcu_sym_161,1.0
boydwoo_str_m3_o3_o6_pcu_sym_167,1.0
gmof_Zn4O13-DPAC_A-TED_A_No13,1.0
tobacco_bor_sym_3_mc_0_sym_4_on_6_L_6,1.0
HAZPIJ01_FSR,1.0
gmof_Zn4O13-BDC_A-DPAC_A_No37,1.0
core_ESIDOB_freeONLY,1.0
boydwoo_str_m3_o17_o28_pcu_sym_153,1.0
XEXMEU_FSR,1.0
MIBWEC_FSR,1.0
gmof_Uio66Zr-irmof14_A_No15,1.0
VEJYUF01_FSR,1.0
gmof_AlO6-mofHTB_No11,1.0
boydwoo_str_m3_o4_o28_pcu_sym_53,1.0
boydwoo_str_m5_Al_o4_o20_sra_sym_58,1.0
gmof_AlO6-ADC_A_No6,1.0
core_XOMJUE_freeONLY,1.0
pyrene_KUJZAT,1.0
INIPOM_FSR,1.0
gmof_Al2O6-DPAC_B-irmof10_B_No14,1.0
core_MUNNUF_freeONLY,1.0
gmof_Al2O6-AZO_B-fum_B_No78,1.0
boydwoo_str_m3_o16_o17_pcu_sym_262,1.0
gmof_Zn4O13-irmof8_A-TED_A_No13,1.0
GIVWAM_FSR,1.0
ROVWIK_FSR,1.0
gmof_Zn4O13-BDC_A-DPAC_A_No542,1.0
gmof_Al2O6-irmof10_B-irmof7_B_No24,1.0
core_TEBSAW_freeONLY,1.0
QOVWAB_FSR,1.0
RUZCAS_FSR,1.0
MOF-5_cooh_2_462_1,1.0
boydwoo_str_m3_o5_o25_nbo_sym_69,1.0
NIMVOW_FSR,1.0
gmof_Zn4O13-DPAC_A_No10,1.0
boydwoo_str_m3_o4_o13_pcu_sym_123,1.0
SEGDAL_FSR,1.0
UTELIQ_FSR,1.0
QINGOM_FSR,1.0
BONMAT_FSR,0.8239019519919791
gmof_Zn2O8-irmof8_A-NCO_A_No14,1.0
tobacco_SR_tsd_v1-6c_Zr_1_Ch_v2-4c_B_Ch_v3-4c_B_Ch_v4-3c_triazine_Ch_2B_fused_Ch_1x2x1,1.0
boydwoo_str_m3_o7_o26_pcu_sym_145,1.0
gmof_Zn2O8N2-DPAC_A-irmof20_A_No481,1.0
TUMQUP_FSR,1.0
gmof_CuN4-SiF6-AZO_No2,1.0
gmof_Al2O6-irmof10_B-irmof7_B_No154,1.0
FOCLOB_FSR,1.0
boydwoo_str_m3_o12_o16_pcu_sym_87,1.0
gmof_Zn4O13-BDC_A-DPAC_A_No54,1.0
RINWAO_FSR,1.0
gmof_AlO6-ADC_A_No16,1.0
YARCOL_FSR,1.0
boydwoo_str_m3_o2_o9_pcu_sym_210,1.0
MIMHIB_FSR,1.0
XICDEU_FSR,1.0
core_BEYSEF_freeONLY,1.0
gmof_Uio66Zr-irmof10_A-irmof14_A_No418,1.0
boydwoo_str_m3_o3_o8_pcu_sym_96,1.0
boydwoo_str_m3_o7_o26_pcu_sym_134,1.0
EZIMAC_FSR,1.0
GIWFAV_FSR,1.0
gmof_Al2O6-AZO_B-BDC_B_No338,1.0
boydwoo_str_m3_o17_o27_pcu_sym_159,1.0
gmof_AlO6-irmof6_A_No11,1.0
gmof_Al2O6-BDC_B-irmof8_B_No11,1.0
gmof_Zn2O8N2-BDC_A-DPAC_A_No635,1.0
RUGZAW_FSR,1.0
gmof_Uio66Zr-BDC_A-irmof6_A_No60,1.0
boydwoo_str_m1_o18_o18_pcu_sym_70,1.0
gmof_Al2O6-BDC_B-irmof7_B_No21,1.0
boydwoo_str_m4_Al_o17_o23_acs_sym_50,1.0
boydwoo_str_m7_o11_o24_bcu_sym_11,1.0
gmof_Al2O6-BDC_B-irmof7_B_No685,1.0
BEMLEM_FSR,1.0
boydwoo_str_m3_o3_o27_pcu_sym_72,1.0
boydwoo_str_m5_Al_o8_o26_sra_sym_165,1.0
gmof_Uio66Zr-irmof10_A-irmof14_A_No103,1.0
DUMFEY_FSR,1.0
gmof_Uio66Zr-irmof10_A-irmof14_A_No41,1.0
gmof_AlO6-mofHTB_No12,1.0
gmof_AlO6-mof177_No37,1.0
MUTVUT_FSR,1.0
gmof_Al2O6-DPAC_B-irmof7_B_No16,1.0
boydwoo_str_m4_Al_o17_o23_acs_sym_133,1.0
boydwoo_str_m5_Al_o6_o20_sra_sym_28,1.0
core_PIJROR_freeONLY,1.0
gmof_Al2O6-BDC_B-DPAC_B_No216,1.0
boydwoo_str_m1_o11_o24_pcu_sym_208,1.0
gmof_Zn4O13-irmof20_A-irmof6_A_No193,1.0
gmof_Al2O6-AZO_B-irmof7_B_No210,1.0
core_APARAM_freeONLY,1.0
boydwoo_str_m3_o17_o22_pcu_sym_162,1.0
FIMMUL_FSR,1.0
boydwoo_str_m1_o21_o26_pcu_sym_218,1.0
gmof_AlO6-ADC_A_No14,1.0
CORJIC_FSR,1.0
boydwoo_str_m5_Al_o1_o17_sra_sym_44,1.0
gmof_Zn4O13-DPAC_A-TED_A_No32,1.0
VUSNUT_FSR,1.0
WOGLEL_FSR,1.0
HEJQIZ_FSR,1.0
boydwoo_str_m5_Al_o2_o13_sra_sym_102,1.0
gmof_Al2O6-ADC_B-DPAC_B_No235,1.0
boydwoo_str_m1_o20_o24_pcu_sym_155,1.0
boydwoo_str_m1_o4_o9_pcu_sym_196,1.0
boydwoo_str_m3_o2_o12_pcu_sym_112,1.0
boydwoo_str_m7_Zn_o4_o10_bcu_sym_36,1.0
NAVDEW_FSR,1.0
gmof_Zn4O13-BDC_A-NiC4_No10,1.0
