,T_P proba
PALHUI_FSR,0.19717235172472297
gmof_Zn4O13-BDC_A-irmof20_A_No236,0.0
gmof_AlO6-irmof20_A_No12,0.0
JEDQIS_FSR,0.13693582894864484
VAKDOD_FSR,0.0
ASAXID_FSR,0.0
KIYFAC_FSR,0.0
QODTOU_FSR,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No182,0.0
boydwoo_str_m1_o4_o24_pcu_sym_3,0.0
GERCAK_FSR,0.0
boydwoo_str_m7_Zn_o25_o26_bcu_sym_69,0.0
boydwoo_str_m3_o16_o24_pcu_sym_56,0.0
SOHYEV_FSR,0.0
boydwoo_str_m7_Zn_o6_o20_bcu_sym_126,0.18348237594427771
BEMWOG_FSR,0.0
gmof_Al2O6-irmof16_B-irmof20_B_No344,0.0
boydwoo_str_m7_Zn_o11_o22_bcu_sym_123,0.0
TABQAR_FSR,0.0
boydwoo_str_m7_Zn_o6_o20_bcu_sym_148,0.0
IKOZOZ_FSR,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No176,0.0
boydwoo_str_m7_Zn_o20_o23_bcu_sym_26,0.0
CEVPID01_FSR,0.0
gmof_Uio66Zr-BDC_A-irmof7_A_No84,0.0
tobacco_srsb_sym_3_on_4_sym_3_mc_0_L_2,0.0
boydwoo_str_m7_o2_o13_bcu_sym_14,0.0
WUFFIN_FSR,0.0
YOFRIV_FSR,0.0
OVIDON_FSR,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No184,0.0
ECAHUN_FSR,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No107,0.0
NAMKUK_FSR,0.0
boydwoo_str_m3_o4_o14_pcu_sym_124,0.0
boydwoo_str_m7_o8_o23_bcu_sym_203,0.0
YIGQOU_FSR,0.12708652796916758
HOQKOO_FSR,0.0
tobacco_srsb_sym_3_on_2_sym_3_mc_0_L_2,0.0
IGUTUB01_FSR,0.19157826544228784
boydwoo_str_m3_o4_o21_pcu_sym_39,0.0
SUTBIT_FSR,0.03804479173652319
boydwoo_str_m7_Zn_o8_o25_bcu_sym_151,0.0
QUQBAH_FSR,0.04411053202021949
boydwoo_str_m3_o13_o24_pcu_sym_222,0.0
boydwoo_str_m7_Zn_o8_o23_bcu_sym_214,0.0
boydwoo_str_m5_Al_o13_o24_sra_sym_85,0.0
gmof_Zn2O8N2-irmof20_A-irmof7_A_No26,0.0
KUFSUB_FSR,0.0
gmof_Al2O6-irmof20_B-irmof7_B_No184,0.0
PIHJIB_FSR,0.19876808837966145
boydwoo_str_m4_Al_o17_o25_acs_sym_92,0.0
MOF-5_cooh_2_930_1,0.0
boydwoo_str_m7_o1_o4_bcu_sym_46,0.0
IGOBUC_FSR,0.0
boydwoo_str_m7_o12_o22_bcu_sym_33,0.0
gmof_Uio66Zr-irmof6_A-irmof7_A_No24,0.0
gmof_Uio66Zr-BDC_A-irmof7_A_No29,0.0
PITJAG_FSR,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No87,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No538,0.0
TECREZ_FSR,0.0
boydwoo_str_m7_Zn_o8_o17_bcu_sym_56,0.0
UWEGUZ_FSR,0.0
gmof_Zn2O8N2-irmof20_A-irmof6_A_No310,0.0
SOHGUS_FSR,0.021547143569846456
boydwoo_str_m7_Zn_o25_o26_bcu_sym_131,0.0
core_HIGRIA_freeONLY,0.0
BUZGEJ_FSR,0.0
WADDUD_FSR,0.0
TABPUK_FSR,0.0
HEJCIL_FSR,0.0
TOKDON_FSR,0.1553472549893971
POCQIJ_FSR,0.0
gmof_AlO6-irmof20_A_No5,0.0
SEMWOZ_FSR,0.0
MOF-5_cooh_2_1401_2,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No207,0.0
gmof_Al2O6-DPAC_B-irmof20_B_No342,0.0
gmof_AlO6-mof177-N_No18,0.0
boydwoo_str_m7_Zn_o8_o17_bcu_sym_233,0.0
FAHHUT_FSR,0.0
UVAROZ_FSR,0.0
gmof_Al2O6-irmof20_B-irmof7_B_No136,0.0
GADMUW_FSR,0.0
gmof_Al2O6-BDC_B-irmof7_B_No590,0.0
boydwoo_str_m7_Zn_o17_o26_bcu_sym_105,0.0
boydwoo_str_m5_Al_o13_o22_sra_sym_92,0.0
QUYLIH_FSR,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No26,0.0
boydwoo_str_m5_Al_o13_o24_sra_sym_201,0.0
gmof_Uio66Zr-irmof6_A-irmof7_A_No148,0.0
FAHJAB_FSR,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No122,0.0
gmof_Zn2O8-ADC_A-irmof20_A_No313,0.0
CUQNUZ_FSR,0.0
gmof_Uio66Zr-BDC_A-irmof6_A_No371,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No120,0.0
boydwoo_str_m7_Zn_o17_o26_bcu_sym_40,0.0
SIXWIH_FSR,0.0
FOJKIA_FSR,0.0
boydwoo_str_m7_Zn_o20_o25_bcu_sym_245,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No182,0.0
EGOYEF_FSR,0.0
boydwoo_str_m7_Zn_o1_o12_bcu_sym_1,0.09199170099772133
boydwoo_str_m7_Zn_o1_o4_bcu_sym_103,0.0
core_SUJQOE_freeONLY,0.0
DUHPUT_FSR,0.03743526020065992
KAJZIH_FSR,0.08401132694972704
core_UKUBOS_freeONLY,0.0
boydwoo_str_m7_Zn_o19_o21_bcu_sym_127,0.0
UHOTUH_FSR,0.0
boydwoo_str_m7_Zn_o2_o13_bcu_sym_131,0.17398641609351914
ODOSEI_FSR,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No39,0.0
gmof_Zn2O8N2-irmof6_A-irmof7_A_No144,0.0
boydwoo_str_m3_o8_o12_pcu_sym_122,0.0
boydwoo_str_m7_Zn_o1_o11_bcu_sym_97,0.1316701675624958
CIZWIU_FSR,0.0
boydwoo_str_m7_Zn_o6_o25_bcu_sym_166,0.0
NEWCUP_FSR,0.0
gmof_AlO6-irmof20_A_No9,0.0
tobacco_srsb_sym_3_on_2_sym_3_mc_0__,0.0
NODDAM_FSR,0.0
COFNOB_FSR,0.0
boydwoo_str_m7_Zn_o6_o21_bcu_sym_21,0.1715379761383483
FIRBOX02_FSR,0.0
MOF-5_cooh_2_683_1,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No48,0.0
boydwoo_str_m7_o9_o13_bcu_sym_80,0.0
gmof_Al2O6-irmof7_B_No1,0.0
GUHJOJ_FSR,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No170,0.0
CUSTIU_FSR,0.0
core_PUQHIT_SL,0.0
boydwoo_str_m7_Zn_o17_o26_bcu_sym_89,0.0
gmof_Zn2O8N2-irmof14_A-irmof20_A_No208,0.0
BEPDIK01_FSR,0.0
PALHOC_FSR,0.1944886265327133
RIVTOI_FSR,0.0
gmof_Zn2O8N2-irmof20_A-irmof8_A_No28,0.0
boydwoo_str_m7_o11_o24_bcu_sym_33,0.0
gmof_Uio66Zr-BDC_A-irmof7_A_No306,0.0
boydwoo_str_m7_Zn_o20_o25_bcu_sym_133,0.0
BUTJEG_FSR,0.0
DACYAI_FSR,0.0
boydwoo_str_m7_Zn_o25_o25_bcu_sym_35,0.0
RIFPEB_FSR,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No58,0.0
boydwoo_str_m7_Zn_o2_o8_bcu_sym_125,0.0
ZEKCEA_FSR,0.0
gmof_AlO6-irmof20_A_No17,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No311,0.0
MAPHAP_FSR,0.0
boydwoo_str_m7_Zn_o20_o25_bcu_sym_176,0.0
gmof_Al2O6-BDC_B-irmof7_B_No550,0.0
QAKDAH_FSR,0.0
XICHEY_FSR,0.0
VAPROW_FSR,0.0
core_COJHIT_freeONLY,0.08370785787024282
boydwoo_str_m7_Zn_o8_o25_bcu_sym_20,0.0
BEPDOQ_FSR,0.0
XOLZUT_FSR,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No278,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No158,0.0
IPINUS_FSR,0.0
IKATIZ_FSR,0.0
FOXZAU_FSR,0.0
VOPHUF_FSR,0.0
gmof_Zn2O8N2-irmof12_A-irmof7_A_No1,0.0
tobacco_bor_sym_3_mc_0_sym_4_on_6_L_14,0.0
WEWLOB_FSR,0.0
SAMTUY_FSR,0.0
gmof_Al2O6-irmof10_B-irmof7_B_No15,0.0
boydwoo_str_m7_Zn_o10_o22_bcu_sym_31,0.0
core_QOHTUD_freeONLY,0.0
YOZGUR_FSR,0.0
core_REHVEH_freeONLY,0.0
XULGUI_FSR,0.0
AYOXOD_FSR,0.0
gmof_AlO6-irmof20_A_No8,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No530,0.0
boydwoo_str_m7_Zn_o8_o25_bcu_sym_19,0.0
CAWXAZ_FSR,0.0
UGASAX_FSR,0.0
boydwoo_str_m7_Zn_o23_o25_bcu_sym_82,0.0
boydwoo_str_m3_o17_o24_pcu_sym_168,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No166,0.0
DOHGEO_FSR,0.0
boydwoo_str_m7_o1_o22_bcu_sym_21,0.0
boydwoo_str_m3_o2_o10_pcu_sym_9,0.0
boydwoo_str_m3_o38_o38_fof_sym_17,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No10,0.0
