,node,linker,cat,mofkey
cifs/to31974529,['*'],[],,
cifs/2to2byimmercingfirstcompound1816056,['[OH2][Zn][OH2][Zn]([OH2])[OH2]'],['[O-]C(=O)c1cc(ccc1C(=O)[O-])c1cccc(c1C(=O)[O-])C(=O)[O-]'],0,Zn.NBAUUNCGSMAPFM.MOFkey-v1
cifs/to1npMOF1944822,[],[],,NA.MISSING_LINKERS.MOFkey-v1
cifs/fromCuICuIIMOF22084857,['[Cu]'],['N1=NN=C([N]1)c1cc(C2=NN=N[N]2)c(cc1C1=NN=N[N]1)C1=NN=N[N]1'],0,Cu.BYBVSFXZSOTQIP.MOFkey-v1
cifs/toja054913asi004,['[Ag]'],['C1=N[N][C]=N1'],0,Ag.MEEYLEYACSKQSG.MOFkey-v1
cifs/fromMOF2fa1052168,['[Co][Co]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],1,Co.RXOHFPCZGPKIRD.MOFkey-v1
cifs/to2metastableintermediateUPC6011942056,['[OH2][Ba][OH2]'],['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],0,Ba.RYFYCPDCRKHALS.MOFkey-v1
cifs/initialMOF1014506,"['[O][Eu]', '[O][Na][O]']","['[O]OOC1([C]OO1)C1=[C]C(=[C]C(=[C]1)C(=O)[O-])[N][C]1=[N]=[C](=[N]=[C](=[N]=1)[N]C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-])[N]C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-]', '[O]OOC1([C]OO1)C1=[C]C(=[C]C(=[C]1)[N][C]1=[N]=[C](=[N]=[C](=[N]=1)[N]C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-])[N]C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-])C(=O)[O-]']",0,NaEu.NOZFZCGRBPSDCA.MOFkey-v1
cifs/initialsMOFs1961201,['[OH2][Cu][Cu][OH2]'],['[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]'],0,Cu.PHQYMDAUTAXXFZ.MOFkey-v1
cifs/initialMOFDMFDUT8Ni1989709,['[Ni][Ni]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],0,Ni.RXOHFPCZGPKIRD.MOFkey-v1
