,node,linker,cat,mofkey
to31974529,['*'],[],,
to1npMOF1944822,[],[],,NA.MISSING_LINKERS.MOFkey-v1
fromCuICuIIMOF22084857,['[Cu]'],['N1=NN=C([N]1)c1cc(C2=NN=N[N]2)c(cc1C1=NN=N[N]1)C1=NN=N[N]1'],0.0,Cu.BYBVSFXZSOTQIP.MOFkey-v1
toja054913asi004,['[Ag]'],['C1=N[N][C]=N1'],0.0,Ag.MEEYLEYACSKQSG.MOFkey-v1
fromMOF2fa1052168,['[Co][Co]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],1.0,Co.RXOHFPCZGPKIRD.MOFkey-v1
initialMOF1014506,"['[O][Eu]', '[O][Na][O]']","['[O]OOC1([C]OO1)C1=[C]C(=[C]C(=[C]1)C(=O)[O-])[N][C]1=[N]=[C](=[N]=[C](=[N]=1)[N]C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-])[N]C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-]', '[O]OOC1([C]OO1)C1=[C]C(=[C]C(=[C]1)[N][C]1=[N]=[C](=[N]=[C](=[N]=1)[N]C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-])[N]C1=[C]C(=[C]C(=[C]1)C(=O)[O-])C(=O)[O-])C(=O)[O-]']",0.0,NaEu.NOZFZCGRBPSDCA.MOFkey-v1
initialsMOFs1961201,['[OH2][Cu][Cu][OH2]'],['[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]'],0.0,Cu.PHQYMDAUTAXXFZ.MOFkey-v1
initialMOFDMFDUT8Ni1989709,['[Ni][Ni]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],0.0,Ni.RXOHFPCZGPKIRD.MOFkey-v1
to1b,['[Cd]'],['[O-]C(=O)c1ccc(cc1)n1ccnc1C'],0.0,Cd.MESQWWFGNOQOMI.MOFkey-v1
toDUT49Ni100K2014970,['[O][Ni][Ni][O]'],['[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-]'],0.0,Ni.VENUPVZYXSHACQ.MOFkey-v1
tocompoundwithmethanol1403845,"['[Zn]12[O]3456[Zn]7[O]89%101[Zn]3[O]27([Zn]48)([Zn]59)[Zn]6%10', '[Zn][O]([Zn])([Zn])[Zn]']",['CN(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]'],1.0,Zn.KKUNFVGQMDWOJV.MOFkey-v1
fromUPC6001942055,"['[Ba]', '[OH]', '[O]']",['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],0.0,Ba.RYFYCPDCRKHALS.MOFkey-v1
fromPhaseI1031344,"['[Li]', '[Li][OH2]', '[Zr]']",['[O-]C(=O)C(=O)[O-]'],0.0,LiZr.MUBZPKHOEPUJKR.MOFkey-v1
frompart2,['[O][Co][Co][O]'],['O=C1NCc2ccc(cc2)CNC(=O)c2cc(cc(c2)C(=O)NCc2ccc(CNC(=O)c3cc1cc(c3)C(=O)[O-])cc2)C(=O)[O-]'],3.0,Co.OPWILJLZIKYBTD.MOFkey-v1
initialZn1238860,['[Zn]'],['[C]=O.[O].[O].[O]'],0.0,Zn.RJFCOCDKIGBUMB.MOFkey-v1
toFebdp25C50bar1058450,['[Fe]'],"['N1=CC(=C2C[CH]C(=C3C=NN=C3)C=C2)C=N1', 'N1=CC(=C[N]1)C1=C[CH]C(=C2C=NN=C2)C[CH]1']",0.0,Fe.SKRDFPKCNNNTRG.MOFkey-v1
toDUT49Fe100K2014975,['[O][Fe][Fe][O]'],['[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-]'],0.0,Fe.VENUPVZYXSHACQ.MOFkey-v1
fromDUT49Cd296K1957602,['[O][Cd][Cd][O]'],"['[O-]C(=O)C1=CC2=c3cc(ccc3=N[C]2C=C1)C(=O)[O-]', '[O-]C(=O)C1=CC=C2C(=c3cc(ccc3=N2)C(=O)[O-])[CH]1']",3.0,Cd.OVZFQCSDINBALY.MOFkey-v1
from1934734,['[Zn]'],['[O-]C(=O)c1ccc(cc1)C=Cc1ccncc1'],0.0,Zn.NUMRJFUDFISUFQ.MOFkey-v1
from1withDMF1403842,"['[Zn]12[O]3456[Zn]7[O]89%101[Zn]3[O]27([Zn]48)([Zn]59)[Zn]6%10', '[Zn][O]([Zn])([Zn])[Zn]']",['CN(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]'],1.0,Zn.KKUNFVGQMDWOJV.MOFkey-v1
to2fa1052169,['[Co][Co]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],0.0,Co.RXOHFPCZGPKIRD.MOFkey-v1
fromCoMOF1912199,['[Co][Co]'],['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]'],0.0,Co.RXOHFPCZGPKIRD.MOFkey-v1
toFdd21021920,['[Sc]'],"['[O-]C(=O)c1cc(N(=O)=O)c(cc1N(=O)=O)C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1[N+]([O-])OO[N+]2[O-])C(=O)[O-]']",0.0,Sc.MUFZXBPNVPXWAV.UBXUHAVPTRJHKM.MOFkey-v1
toanie202202073sup0001nku128toluene,['[Zn][Zn]'],"['[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'c1ccc(cn1)c1ccc(cc1)N(c1ccc(cc1)c1cccnc1)c1ccc(cc1)c1cccnc1']",1.0,Zn.RXOHFPCZGPKIRD.XEUWYASFJPMQJQ.MOFkey-v1
toanie202202073sup0001nku128thf,['[Zn][Zn]'],"['[CH]=[C]c1ccc(cc1)N(c1ccc(cc1)c1cccnc1)c1ccc(cc1)c1cccnc1', '[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', 'c1ccc(cn1)c1ccc(cc1)N(c1ccc(cc1)c1cccnc1)c1ccc(cc1)c1cccnc1']",1.0,Zn.NOZKTGAZMRYFSP.RXOHFPCZGPKIRD.XEUWYASFJPMQJQ.MOFkey-v1
fromNOTT3000GPa,"['[Al]', '[OH]']",['[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-]'],0.0,Al.QURGMSIQFRADOZ.MOFkey-v1
to1lpMOF1944821,['[Zn][Zn]'],"['[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-]', 'n1ccc(cc1)CCc1ccncc1']",1.0,Zn.ABMFBCRYHDZLRD.DQRKTVIJNCVZAX.MOFkey-v1
fromDUT49Fe296K1957603,['[O][Fe][Fe][O]'],"['[O-]C(=O)C1=CC2=c3cc(ccc3=N[C]2C=C1)C(=O)[O-]', '[O-]C(=O)C1=CC=C2C(=c3cc(ccc3=N2)C(=O)[O-])[CH]1']",3.0,Fe.OVZFQCSDINBALY.MOFkey-v1
fromic035111osi002,['[Co]'],"['CC(=Cc1ccncc1)c1ccncc1', 'n1ccc(cc1)C=[C]c1ccncc1']",3.0,Co.VSEVYZIPFLZJRE.YANIKTAVLMOMSB.MOFkey-v1
fromHIMS741884101,['[Zn]'],['[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]'],0.0,Zn.YXUXCIBWQAOXRL.MOFkey-v1
fromVMOP1878068,['[O][V]'],"['[C][O]', '[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-]', '[O]S(=O)(=O)[O]']",7.0,V.ARBAMECCCQZCSR.DRQBAJRMFBIZMF.UGFAIRIUMAVXCW.MOFkey-v1
finalMOFs1961202,['[Cu][Cu]'],['[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-]'],1.0,Cu.PHQYMDAUTAXXFZ.MOFkey-v1
toZn1withDMF238859,['[Zn][Zn]'],['[O-]C(=O)c1ccc(cc1)C(=O)[O-]'],1.0,Zn.KKEYFWRCBNTPAC.MOFkey-v1
fromja054913asi002,"['Cl[Ag]', 'O1OOO1', '[Ag]']","['[C]1=N[N][C]=N1', '[N]1[C]=NN=[C]1']",7.0,Ag.HPSLFUDXWSWXGC.MOFkey-v1
tocompoundwithhexane1403844,"['[Zn]12[O]3456[Zn]7[O]89%101[Zn]3[O]27([Zn]48)([Zn]59)[Zn]6%10', '[Zn][O]([Zn])([Zn])[Zn]']",['CN(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]'],1.0,Zn.KKUNFVGQMDWOJV.MOFkey-v1
fromchangeSpaceg2501970083,['[Fe]'],['n1ccc(cc1)C=Cc1ccncc1'],1.0,Fe.MGFJDEHFNMWYBD.MOFkey-v1
toCAU131GPa,"['[Al]', '[OH]']",['[O-]C(=O)C1CCC(CC1)C(=O)[O-]'],0.0,Al.PXGZQGDTEZPERC.MOFkey-v1
from1a,['[Cd]'],['[O-]C(=O)c1ccc(cc1)n1ccnc1C'],0.0,Cd.MESQWWFGNOQOMI.MOFkey-v1
