Name,Symbol,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
Hydrogen,H,1,1.00794,0.53,7.18,0.7,73
Helium,He,2,4.002602,0.31,0,0.198,-50
Lithium,Li,3,6.941,1.67,3.01,24.3,60
Beryllium,Be,4,9.01218,1.12,4.9,5.6,-50
Boron,B,5,10.811,0.87,4.29,3,27
Carbon,C,6,12.011,0.67,6.27,1.8,122
Nitrogen,N,7,14.00674,0.56,7.3,1.1,-0.07
Oxygen,O,8,15.9994,0.48,7.54,0.793,141
Fluorine,F,9,18.998403,0.42,10.41,0.634,328
Neon,Ne,10,20.1797,0.38,0,0.396,-120
Sodium,Na,11,22.989768,1.9,2.85,23.6,53
Magnesium,Mg,12,24.305,1.45,3.75,10.6,-40
Aluminum,Al,13,26.981539,1.18,3.23,8.3,42
Silicon,Si,14,28.0855,1.11,4.77,5.4,134
Phosphorus,P,15,30.973762,0.98,5.62,3.6,72
Sulfur,S,16,32.066,0.88,6.22,2.9,200
Chlorine,Cl,17,35.4527,0.79,8.3,2.2,349
Argon,Ar,18,39.948,0.71,0,1.586,-96
Potassium,K,19,39.0983,2.43,2.42,43.4,48
Calcium,Ca,20,40.078,1.94,2.2,22.8,2
Scandium,Sc,21,44.95591,1.84,3.34,17.8,18
Titanium,Ti,22,47.88,1.76,3.45,14.6,8
Vanadium,V,23,50.9415,1.71,3.6,12.4,51
Chromium,Cr,24,51.9961,1.66,3.72,11.6,65
Manganese,Mn,25,54.93805,1.61,3.72,9.4,-50
Iron,Fe,26,55.847,1.56,4.06,8.4,15
Cobalt,Co,27,58.9332,1.52,4.3,7.5,64
Nickel,Ni,28,58.6934,1.49,4.4,6.8,112
Copper,Cu,29,63.546,1.45,4.48,6.7,119
Zinc,Zn,30,65.39,1.42,4.45,6.4,-60
Gallium,Ga,31,69.723,1.36,3.2,8.1,41
Germanium,Ge,32,72.61,1.25,4.6,6.1,119
Arsenic,As,33,74.92159,1.14,5.3,4.3,78
Selenium,Se,34,78.96,1.03,5.89,3.8,195
Bromine,Br,35,79.904,0.94,7.59,3.1,325
Krypton,Kr,36,83.8,0.88,,2.5,-60
Rubidium,Rb,37,85.4678,2.65,2.34,47.3,47
Strontium,Sr,38,87.62,2.19,2,27.6,5
Yttrium,Y,39,88.90585,2.12,3.19,22.7,30
Zirconium,Zr,40,91.224,2.06,3.64,17.9,41
Niobium,Nb,41,92.90638,1.98,4,15.7,89
Molybdenum,Mo,42,95.94,1.9,3.9,12.8,72
Technetium,Tc,43,97.9072,1.83,4,11.4,53
Ruthenium,Ru,44,101.07,1.78,4.5,9.6,101
Rhodium,Rh,45,102.9055,1.73,4.3,8.6,110
Palladium,Pd,46,106.42,1.69,4.45,4.8,54
Silver,Ag,47,107.8682,1.65,4.44,7.9,126
Cadmium,Cd,48,112.411,1.61,4.33,7.2,-70
Indium,In,49,114.818,1.56,3.1,9.7,29
Tin,Sn,50,118.71,1.45,4.3,7.7,107
Antimony,Sb,51,121.76,1.33,4.85,6.6,101
Tellurium,Te,52,127.6,1.23,5.49,5.5,190
Iodine,I,53,126.90447,1.15,6.76,5,295
Xenon,Xe,54,131.29,1.08,,4,-80
Cesium,Cs,55,132.90543,2.98,2.18,59.6,46
Barium,Ba,56,137.327,2.53,2.4,39.7,14
Lanthanum,La,57,138.9055,1.95,3.1,31.1,45
Cerium,Ce,58,140.115,1.85,3.1,29.6,635
Praseodymium,Pr,59,140.90765,2.47,3.1,28.2,93
Neodymium,Nd,60,144.24,2.06,3.1,31.4,185
Promethium,Pm,61,144.9127,2.05,3.1,30.1,12
Samarium,Sm,62,150.36,2.38,3.1,28.8,16
Europium,Eu,63,151.965,2.31,3.1,27.7,83
Gadolinium,Gd,64,157.25,2.33,3.1,23.5,13
Terbium,Tb,65,158.92534,2.25,3.1,25.5,112
Dysprosium,Dy,66,162.5,2.28,3.1,24.5,34
Holmium,Ho,67,164.93032,2.26,3.1,23.6,33
Erbium,Er,68,167.26,2.26,3.1,22.7,30
Thulium,Tm,69,168.93421,2.22,3.1,21.8,99
Ytterbium,Yb,70,173.04,2.22,3.1,21,-2
Lutetium,Lu,71,174.967,2.17,3.1,21.9,33
Hafnium,Hf,72,178.49,2.08,3.8,16.2,2
Tantalum,Ta,73,180.9479,2,4.11,13.1,31
Tungsten,W,74,183.84,1.93,4.4,11.1,79
Rhenium,Re,75,186.207,1.88,4.02,9.7,14
Osmium,Os,76,190.23,1.85,4.9,8.5,106
Iridium,Ir,77,192.22,1.8,5.4,7.6,151
Platinum,Pt,78,195.08,1.77,5.6,6.5,205
Gold,Au,79,196.96654,1.74,5.77,6.1,223
Mercury,Hg,80,200.59,1.71,4.91,5.4,-50
Thallium,Tl,81,204.3833,1.56,3.2,7.6,36
Lead,Pb,82,207.2,1.54,3.9,6.8,34
Bismuth,Bi,83,208.98037,1.43,4.69,7.4,91
Thorium,Th,90,232.0381,1.8,3.2,32.1,113
Uranium,U,92,238.0289,1.75,3.4,27.4,51
