,pld,lcd
toDUT49Ni100K2014970.res,ifs/toDUT49Ni100K2014970.res    20.69898 12.24942  20.69457,ifs/toDUT49Ni100K2014970.res    20.69898 12.24942  20.69457
from975784.res,ifs/from975784.res    10.35538 5.51053  6.36211,ifs/from975784.res    10.35538 5.51053  6.36211
fromCuIMOF12084812.res,ifs/fromCuIMOF12084812.res    2.60690 1.08583  2.60690,ifs/fromCuIMOF12084812.res    2.60690 1.08583  2.60690
initial11455983.res,ifs/initial11455983.res    1.97310 1.12479  1.91437,ifs/initial11455983.res    1.97310 1.12479  1.91437
tocompoundwithhexane1403844.res,ifs/tocompoundwithhexane1403844.res    3.82901 1.22634  3.82901,ifs/tocompoundwithhexane1403844.res    3.82901 1.22634  3.82901
fromDUT49Zn296K890363.res,ifs/fromDUT49Zn296K890363.res    20.17994 13.22222  20.17994,ifs/fromDUT49Zn296K890363.res    20.17994 13.22222  20.17994
initialMOFDMFDUT8Ni1989709.res,ifs/initialMOFDMFDUT8Ni1989709.res    10.87010 9.67946  10.85775,ifs/initialMOFDMFDUT8Ni1989709.res    10.87010 9.67946  10.85775
part5.res,ifs/part5.res    26.15969 23.12224  26.12886,ifs/part5.res    26.15969 23.12224  26.12886
14MnMOF1MeOH1977797.res,ifs/14MnMOF1MeOH1977797.res    6.47869 4.90528  6.47869,ifs/14MnMOF1MeOH1977797.res    6.47869 4.90528  6.47869
to31974529.res,ifs/to31974529.res    2.93504 1.50110  2.93433,ifs/to31974529.res    2.93504 1.50110  2.93433
toDUT49Zn100K2014973.res,ifs/toDUT49Zn100K2014973.res    20.65284 11.55379  20.63295,ifs/toDUT49Zn100K2014973.res    20.65284 11.55379  20.63295
initialsMOFs1961205.res,ifs/initialsMOFs1961205.res    2.43958 1.03940  2.43948,ifs/initialsMOFs1961205.res    2.43958 1.03940  2.43948
to195KsameSG1970081.res,ifs/to195KsameSG1970081.res    7.33550 5.98393  7.32297,ifs/to195KsameSG1970081.res    7.33550 5.98393  7.32297
to3from121974528.res,ifs/to3from121974528.res    5.43799 3.71060  5.35826,ifs/to3from121974528.res    5.43799 3.71060  5.35826
toDUT49Mn100K2014971.res,ifs/toDUT49Mn100K2014971.res    20.68028 11.32138  20.67805,ifs/toDUT49Mn100K2014971.res    20.68028 11.32138  20.67805
from3in61515548.res,ifs/from3in61515548.res    7.10661 5.03433  7.10660,ifs/from3in61515548.res    7.10661 5.03433  7.10660
fromDUT49Co296K890364.res,ifs/fromDUT49Co296K890364.res    20.13535 13.11646  20.13535,ifs/fromDUT49Co296K890364.res    20.13535 13.11646  20.13535
1tocompound21926445.res,ifs/1tocompound21926445.res    4.83068 3.84119  4.83068,ifs/1tocompound21926445.res    4.83068 3.84119  4.83068
to1lpMOF1944821.res,ifs/to1lpMOF1944821.res    2.08903 1.36565  2.02479,ifs/to1lpMOF1944821.res    2.08903 1.36565  2.02479
toDUT49Fe100K2014975.res,ifs/toDUT49Fe100K2014975.res    20.78190 11.78425  20.78110,ifs/toDUT49Fe100K2014975.res    20.78190 11.78425  20.78110
fromCAU130GPa.res,ifs/fromCAU130GPa.res    4.43849 3.49193  4.43842,ifs/fromCAU130GPa.res    4.43849 3.49193  4.43842
toMOF5C7desolvatedphase2040923.res,ifs/toMOF5C7desolvatedphase2040923.res    4.57529 1.68226  4.57529,ifs/toMOF5C7desolvatedphase2040923.res    4.57529 1.68226  4.57529
fromUTSA741884102.res,ifs/fromUTSA741884102.res    6.59983 5.63241  6.59983,ifs/fromUTSA741884102.res    6.59983 5.63241  6.59983
from1withDMF1403842.res,ifs/from1withDMF1403842.res    9.89857 3.55097  8.78904,ifs/from1withDMF1403842.res    9.89857 3.55097  8.78904
to6cm6b05277si005.res,ifs/to6cm6b05277si005.res    3.81815 1.55376  3.67940,ifs/to6cm6b05277si005.res    3.81815 1.55376  3.67940
FrombIRMOF9DMF1572717.res,ifs/FrombIRMOF9DMF1572717.res    7.95688 5.55082  7.95688,ifs/FrombIRMOF9DMF1572717.res    7.95688 5.55082  7.95688
initial1b1016636.res,ifs/initial1b1016636.res    5.42718 3.85622  5.42718,ifs/initial1b1016636.res    5.42718 3.85622  5.42718
to1041924.res,ifs/to1041924.res    4.71556 1.71029  4.66646,ifs/to1041924.res    4.71556 1.71029  4.66646
initial1cpMOF1944820.res,ifs/initial1cpMOF1944820.res    2.05011 0.47464  1.66988,ifs/initial1cpMOF1944820.res    2.05011 0.47464  1.66988
from935302.res,ifs/from935302.res    16.88359 10.60985  16.88359,ifs/from935302.res    16.88359 10.60985  16.88359
to3UPC6021942057.res,ifs/to3UPC6021942057.res    3.70395 1.73918  3.70395,ifs/to3UPC6021942057.res    3.70395 1.73918  3.70395
2from2924308Copy.res,ifs/2from2924308Copy.res    4.65010 3.36744  4.26651,ifs/2from2924308Copy.res    4.65010 3.36744  4.26651
fromja101541ssi004.res,ifs/fromja101541ssi004.res    16.35612 12.20512  16.35612,ifs/fromja101541ssi004.res    16.35612 12.20512  16.35612
fromDMFsolvatedFebdp100K1058447.res,ifs/fromDMFsolvatedFebdp100K1058447.res    2.42526 1.30850  2.39570,ifs/fromDMFsolvatedFebdp100K1058447.res    2.42526 1.30850  2.39570
tochangedstructure1014507.res,ifs/tochangedstructure1014507.res    11.65509 5.66043  11.57998,ifs/tochangedstructure1014507.res    11.65509 5.66043  11.57998
toic035111osi002.res,ifs/toic035111osi002.res    4.93958 3.79300  4.70830,ifs/toic035111osi002.res    4.93958 3.79300  4.70830
fromDUT49Fe296K1957603.res,ifs/fromDUT49Fe296K1957603.res    20.31686 13.19772  20.31686,ifs/fromDUT49Fe296K1957603.res    20.31686 13.19772  20.31686
toZn1withDMF238859.res,ifs/toZn1withDMF238859.res    3.76068 1.47203  3.51717,ifs/toZn1withDMF238859.res    3.76068 1.47203  3.51717
1to71031676.res,ifs/1to71031676.res    1.91898 0.96194  1.53891,ifs/1to71031676.res    1.91898 0.96194  1.53891
initial2110145.res,ifs/initial2110145.res    7.03283 6.40942  6.97200,ifs/initial2110145.res    7.03283 6.40942  6.97200
toDUT49Cd100K2014972.res,ifs/toDUT49Cd100K2014972.res    20.98794 10.91213  20.98498,ifs/toDUT49Cd100K2014972.res    20.98794 10.91213  20.98498
initialMOF5C72040922.res,ifs/initialMOF5C72040922.res    11.39338 5.73982  11.39338,ifs/initialMOF5C72040922.res    11.39338 5.73982  11.39338
to2fa1052169.res,ifs/to2fa1052169.res    2.97770 2.36985  2.97770,ifs/to2fa1052169.res    2.97770 2.36985  2.97770
fromic035111osi001.res,ifs/fromic035111osi001.res    1.59063 0.00000  1.35205,ifs/fromic035111osi001.res    1.59063 0.00000  1.35205
from11974527.res,ifs/from11974527.res    5.55567 4.07961  5.55082,ifs/from11974527.res    5.55567 4.07961  5.55082
fromchangeSpaceg2501970083.res,ifs/fromchangeSpaceg2501970083.res    7.70281 6.43552  7.69923,ifs/fromchangeSpaceg2501970083.res    7.70281 6.43552  7.69923
initialsMOFs1961203.res,ifs/initialsMOFs1961203.res    4.97640 2.85892  4.97640,ifs/initialsMOFs1961203.res    4.97640 2.85892  4.97640
from1a.res,ifs/from1a.res    18.98922 17.71534  18.98922,ifs/from1a.res    18.98922 17.71534  18.98922
from1934734.res,ifs/from1934734.res    2.75956 1.30556  2.74300,ifs/from1934734.res    2.75956 1.30556  2.74300
part6.res,ifs/part6.res    28.65240 25.20221  28.65240,ifs/part6.res    28.65240 25.20221  28.65240
to210KsameSG1970082.res,ifs/to210KsameSG1970082.res    7.55593 6.20039  7.54400,ifs/to210KsameSG1970082.res    7.55593 6.20039  7.54400
to2metastableintermediateUPC6011942056.res,ifs/to2metastableintermediateUPC6011942056.res    3.87935 2.71124  3.71250,ifs/to2metastableintermediateUPC6011942056.res    3.87935 2.71124  3.71250
