,pld,lcd
toDUT49Ni100K2014970,12.24942,20.69898
from975784,5.51053,10.35538
fromCuIMOF12084812,1.08583,2.60690
initial11455983,1.12479,1.97310
tocompoundwithhexane1403844,1.22634,3.82901
fromDUT49Zn296K890363,13.22222,20.17994
initialMOFDMFDUT8Ni1989709,9.67946,10.87010
to31974529,1.50110,2.93504
toDUT49Zn100K2014973,11.55379,20.65284
toDUT49Mn100K2014971,11.32138,20.68028
from3in61515548,5.03433,7.10661
fromDUT49Co296K890364,13.11646,20.13535
to1lpMOF1944821,1.36565,2.08903
toDUT49Fe100K2014975,11.78425,20.78190
fromCAU130GPa,3.49193,4.43849
toMOF5C7desolvatedphase2040923,1.68226,4.57529
fromUTSA741884102,5.63241,6.59983
from1withDMF1403842,3.55097,9.89857
FrombIRMOF9DMF1572717,5.55082,7.95688
initial1cpMOF1944820,0.47464,2.05011
from935302,10.60985,16.88359
fromja101541ssi004,12.20512,16.35612
fromDMFsolvatedFebdp100K1058447,1.30850,2.42526
tochangedstructure1014507,5.66043,11.65509
fromDUT49Fe296K1957603,13.19772,20.31686
toZn1withDMF238859,1.47203,3.76068
1to71031676,0.96194,1.91898
initial2110145,6.40942,7.03283
toDUT49Cd100K2014972,10.91213,20.98794
initialMOF5C72040922,5.73982,11.39338
to2fa1052169,2.36985,2.97770
fromic035111osi001,0.00000,1.59063
from11974527,4.07961,5.55567
fromchangeSpaceg2501970083,6.43552,7.70281
initialsMOFs1961203,2.85892,4.97640
from1a,17.71534,18.98922
from1934734,1.30556,2.75956
to210KsameSG1970082,6.20039,7.55593
toDUT8NipolymorphB1989708,9.67953,10.61969
fromVMOP1878068,42.99018,52.15888
from2D854460,1.20068,2.66833
2to101045134,0.95398,1.69465
fromja054913asi001,0.94270,1.26595
initial1a1016635,4.00260,5.10912
toanie202202073sup0001nku128toluene,3.77509,6.52059
ToaIRMOF9DMF1572714,7.76489,10.61543
1cpdesMOFbacktotheinitial1944823,0.46025,2.14417
initialsMOFs1961201,2.92857,4.96356
from1in5636900,4.31214,6.30481
tocompoundwithmethanol1403845,1.61334,4.67844
2tocompound2924308,3.36744,4.65010
toVMOP1590348,4.73222,10.14917
fromja500530ysi003,3.55524,4.82412
ONLYinitialfor2949420,4.28425,5.48030
frompart2,25.67396,28.46977
fromFebdp25C1058446,2.24053,2.66813
fromSION21503701,1.19042,2.92080
toDUT49Co100K2014974,11.69322,20.67741
toDMFsolvatedFebdp298K1058448,9.40018,9.80277
toNOTT3001GPashear,7.36895,9.43612
to1npMOF1944822,1.28738,2.89514
from4in61536823,5.46561,7.60527
toFdd21021920,0.80410,2.53255
initialsMOFs1961204,2.96357,4.94759
2from91045135,1.11488,1.97272
to1b,1.54588,3.02459
from2007086,7.37447,7.68404
fromMOF2fa1052168,4.61176,5.50894
todflexMOFdried975745,1.36988,4.60262
toSTA26ZrCchangedsymmetry1571656,4.43254,13.09072
fromNOTT3000GPa,13.18106,15.06437
fromDUT49Cd296K1957602,13.21809,20.04293
initialZn1238860,7.63411,9.47830
1from61055570,1.36996,2.25608
fromasflexMOF975746,4.38724,6.15637
fromic035111osi002,3.79300,4.93958
toja054913asi004,2.02895,2.22705
toCAU131GPa,5.03476,5.53591
INITIALanie202202073sup0001nku128298k,5.78828,7.44533
fromCoMOF1912199,9.41120,10.03279
topart4,27.54718,30.28158
fromja054913asi002,1.59936,1.72375
12fromMnMOF1toacetonsolvated1977803,4.63420,6.48217
toja101541ssi003,5.77800,7.80842
toCoMOF1912233,1.55933,2.38043
from1041925,1.24455,2.72258
fromCuICuIIMOF22084857,1.47550,3.52770
fromDUT49Ni296K1957605,13.08551,20.47117
fromassynthesizedDUT30Zn804770,5.59401,6.59500
fromC2c1021935,1.72143,2.54675
1initialMnMOF1DMF989581,4.64864,6.96857
fromDUT49Mn296K1957604,13.21190,20.07905
from1969911,8.12722,8.51761
initialSTA26Zr1571655,4.51704,13.77430
fromHIMS741884101,1.15264,2.59933
fromPhaseI1031344,1.11924,3.00480
from31483716,2.83690,3.43213
toanie202202073sup0001nku128thf,4.59433,5.90286
finalMOFs1961202,3.20661,4.92448
fromUPC6001942055,5.12105,7.45566
